nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Galleta Digestive Cacao Family Biscuits 400 g.,1.99,4.97,la despensa,desayuno,Cereales y galletas,€/kg,
Bebida de soja plus ligera sin azúcar Vivesoy 1 l.,1.99,1.99,la despensa,lacteos,leche y mantequilla,€/l,
La Rosquita de Lomo Carrefour 220 g,1.99,9.05,productos frescos,platos preparados cocinados,Pizzas y platos preparados,€/kg,
Apósitos callos tecnología hidrocoloide Carrefour Soft 8 ud.,1.99,0.25,parafarmacia,botiquin,botiquin,€/ud,
Soles gorgonzola y nueces Carrefour Extra 250 g.,1.99,7.96,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Limpia muebles Carrefour Expert 750 ml.,1.99,2.65,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Bebida de Centeno Vivesoy 1 l.,1.99,1.99,la despensa,lacteos,leche y mantequilla,€/l,
Macarrones de guisantes Gallo Nature sin gluten 250 g.,1.99,7.96,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
"Arena Absorbente Perfumada 5 Kg, Carrefour",1.99,0.4,mascotas,gatos,Mascotas,€/kg,
3 Bayetas Multiusos de Microfibra  Carrefour   - Colores surtidos,1.99,0.66,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
20 Bolsas Basura CARREFOUR Cubo Alto 30 Litros - Azul,1.99,0.1,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Hélices de lenteja roja Gallo Nature sin gluten 250 g.,1.99,7.96,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Fregona Trenzada CARREFOUR - Bicolor,1.99,1.99,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Alubia blanca categoría extra Carrefour 1 kg.,1.99,1.99,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Cerveza San Miguel Especial botella 1 l.,1.99,1.99,bebidas,cerveza,Bodega,€/l,
Schweppes ginger Beer & chile botella 20 cl.,1.99,9.95,bebidas,refrescos,Agua y refrescos,€/l,
Queso de Vaca Tierno Provolone con Orégano Carrefour Extra pieza de 150 g,1.99,13.27,productos frescos,quesos,Charcutería y quesos,€/kg,
Calabaza troceada ecológica Carrefour Bio 400 g,1.99,4.97,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
"Font Vella La Limonada con zumo de limón sin gas botella 1,25 l.",1.99,1.59,bebidas,aguas y zumos,Zumos,€/l,
Papel de cocina doble capa Simpl Choice 4 ud.,1.99,0.5,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
Arroz redondo La Cigala 1 kg.,1.99,1.99,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Pisto Classi´c Carrefour Classic´sin gruten frasco 550 g.,1.99,3.62,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Tomate frito con cebolla Classic Carrefour sin gluten 560 g.,1.99,3.55,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Set de 2 perchas antideslizantes CARREFOUR HOME - Azul,1.99,0.99,limpieza y hogar,menaje,Limpieza y hogar,€/ud,
"Agua mineral Font Vella Levité con zumo de piña 1,25 l.",1.99,1.59,bebidas,aguas y zumos,Agua y refrescos,€/l,
Salsa Romesco Ferrer sin gluten tarro 130 g.,1.99,15.31,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Crema de queso natural Arla 200 g.,1.99,9.95,productos frescos,quesos,Charcutería y quesos,€/kg,
Snack dental para perro pequeño Purina Dentalife 115 g,1.99,17.3,mascotas,perros,Mascotas,€/kg,
Set 2 Estropajos Fibra Clásica SCOTCH BRITE,1.99,0.99,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Snack de buey para perro Pedigree Rodeo 70 g.,1.99,28.43,mascotas,perros,Mascotas,€/kg,
Jabón de manos en pastilla suave no perfumado ecológico Carrefour 100 g.,1.99,1.991,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100g,
Tomate frito ecológico Carrefour Bio sin gluten tarro 340 g.,1.99,5.85,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Snacks dental para perros de 5-15 kg Pedigree Dentastix pack de 68 g,1.99,29.26,mascotas,perros,Mascotas,€/kg,
Snack para perros sabor búfalo Purina Adventuros Sticks 120 g,1.99,16.58,mascotas,perros,Mascotas,€/kg,
Estropajo VILEDA No Raya 2+1,1.99,0.66,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Cepillo de Fregar Carrefour - Gris,1.99,1.99,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
"Font Vella La Limonada con zumo de limón sin gas zero botella 1,25 l.",1.99,1.59,bebidas,refrescos,Agua y refrescos,€/l,
Galletas para Roedores,1.99,1.99,mascotas,conejos y roedores,Mascotas,€/ud,
Croquetas de setas Carrefour Extra 350 g.,1.99,5.69,congelados,rebozados y platos preparados,Pizzas y platos preparados,€/kg,
Vaso Caña de Azucar PAPSTAR - Blanco,1.99,1.99,limpieza y hogar,menaje,Limpieza y hogar,€/ud,
Pincho de Madera para Brocheta 25 cm UNIC de 100 piezas,1.99,0.02,limpieza y hogar,menaje,Limpieza y hogar,€/ud,
Preparado de avena para cocinar ecológica Ideal Nestlé 204 g.,1.99,9.75,la despensa,lacteos,leche y mantequilla,€/kg,
Patata Lavada Carrefour 1 kg aprox,1.99,,productos frescos,verduras y hortalizas,Fruta y verdura,No especificado,
Tiras pieles sensibles Soft Carrefour 30 ud.,1.99,0.07,parafarmacia,botiquin,botiquin,€/ud,
Espaguetis integrales Gallo Nature 450 g.,1.99,4.42,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Snack dental para perro adulto toy Ultima 70 g.,1.99,28.43,mascotas,perros,Mascotas,€/kg,
Plumas rayadas integrales Gallo Nature 450 g.,1.99,4.42,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Tiras dedos Carrefour Soft 16 ud.,1.99,0.12,parafarmacia,botiquin,botiquin,€/ud,
Limpiador de vitrocerámica e inducción en crema Carrefour 500 ml.,1.99,3.98,limpieza y hogar,productos para cocina,Limpieza y hogar,€/l,
Agua de Aloe vera T'best premium sin azúcar 50 cl.,1.99,3.98,bebidas,aguas y zumos,Agua y refrescos,€/l,
Preparado lácteo crecimiento y desarrollo Puleva Max sin gluten sin lactosa brik 1 l.,1.99,1.99,la despensa,lacteos,leche y mantequilla,€/l,
Comida húmeda pollo relleno de arroz y zanahoria Perrynat 1 kg,1.99,1.99,mascotas,perros,Mascotas,€/kg,
Arroz largo La Cigala 1 kg.,1.99,1.99,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Alcohol de romero Carrefour Soft 250 ml.,1.99,0.801,parafarmacia,botiquin,botiquin,€/100ml,
Set de 3 Bayetas Microfibra  Pequeñas ROZENBAL 32x32 cm - Surtido,1.99,0.66,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Zumo de naranja recién exprimido Carrefour 250 ml,1.99,7.96,productos frescos,frutas,Fruta y verdura,€/l,
Vino frizzante amabile rosado Bollicina 75 cl.,1.99,1.99,bebidas,vinos,Bodega,€/ud,
Mandarina Carrefour a granel 1 kg aprox,1.99,1.99,productos frescos,frutas,Fruta y verdura,€/kg,
Zumo de frambuesa y cereza Innocent botella 33 cl.,1.99,6.03,bebidas,aguas y zumos,Zumos,€/l,
Cinta celo trasparente con dispensador,1.99,1.99,limpieza y hogar,papeleria,papeleria,€/ud,
Espinacas hojas en porciones Carrefour 1 kg.,1.99,1.99,congelados,verduras congeladas,Congelados,€/kg,
Film transparente Carrefour 100 metros.,1.99,0.03,limpieza y hogar,conservacion de alimentos,Limpieza y hogar,€/m,
Aquarius sabor limón zero azúcar sin calorías botella 1.5 l.,1.99,1.33,bebidas,refrescos,Agua y refrescos,€/l,
Recambio 100 Hojas 210x297 mm 4x4+M 7 gr,1.99,1.99,limpieza y hogar,papeleria,papeleria,€/ud,
Tissues classic 3 capas Carrefour 110 ud.,1.99,0.02,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
Gel de ducha 2 en 1 Carrefour Soft 500 ml.,1.99,0.401,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Queso azul semicurado Carrefour Extra cuña de 180 g,1.99,11.06,productos frescos,quesos,Charcutería y quesos,€/kg,
"Zumo de uva roja, granada y grosella Carrefour Selección exprimido botella75 cl.",1.99,2.65,bebidas,aguas y zumos,Zumos,€/l,
Recogedor de Mano Carrefour - Gris,1.99,1.99,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Horchata de chufa sin azúcar añadido Chufi Zero sin gluten sin lactosa botella 1 l.,1.99,1.99,la despensa,lacteos,leche y mantequilla,€/l,
Antihumedad recambio Carrefour 1 ud.,1.99,4.42,limpieza y hogar,ambientadores,Limpieza y hogar,€/kg,
Horchata de chufa Original Chufi sin gluten sin lactosa botella 1 l.,1.99,1.99,la despensa,lacteos,leche y mantequilla,€/l,
Pechuga de pavo pieza Simply sin gluten sin lactosa 300 g.,1.99,6.63,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Bebida de avena Baristas Alpro sin lactosa y sin azúcar añadido 750 ml,1.99,2.65,la despensa,lacteos,leche y mantequilla,€/l,
Kétchup ecológico Carrefour Bio 330 g.,1.99,6.03,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Judías verdes con patata Classic Carrefour 1 kg,1.99,1.99,congelados,verduras congeladas,Congelados,€/kg,
Tapa Microondas de Plástico CURVER 27cm - Transparente,1.99,1.99,limpieza y hogar,menaje,Limpieza y hogar,€/ud,
Bolsas para bocadillo Carrefour Expert 120 ud.,1.99,0.02,limpieza y hogar,conservacion de alimentos,Limpieza y hogar,€/ud,
"Aquarius sabor naranja zero azúcar sin calorías botella 1,5 l.",1.99,1.33,bebidas,refrescos,Agua y refrescos,€/l,
Comida húmeda pollo y cerdo perro adulto Perrinat 1 kg,1.99,1.99,mascotas,perros,Mascotas,€/kg,
Zumo de piña Juver exprimido sin azúcar brik 1 l.,1.99,1.99,bebidas,aguas y zumos,Zumos,€/l,
Garbanzo La Muralla 1 kg.,1.99,1.99,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Manzanilla con anís en bolsitas Carrefour 50 ud.,1.96,30.15,la despensa,desayuno,Cereales y galletas,€/kg,
Ensalada gourmet original Florette 175 g,1.95,11.14,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Monster Reserve White Bebida Energética Pineapple lata 50 cl.,1.95,3.9,bebidas,refrescos,Agua y refrescos,€/l,
Ajo congelado Carrefour 100 g.,1.95,19.5,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Café latte light Kaiku sin gluten sin lactosa 230 ml.,1.95,8.48,la despensa,lacteos,leche y mantequilla,€/l,
Monster Reserve Bebida Energética Watermelon lata 50 cl.,1.95,3.9,bebidas,refrescos,Agua y refrescos,€/l,
Careta de cerdo ElPozo 350 g aprox,1.95,5.56,productos frescos,carniceria,Carne,€/kg,
"Zumo de frutas del bosque Sunny Delight Blue botella 1,25 l.",1.95,1.56,bebidas,aguas y zumos,Zumos,€/l,
Leche infantil de continuación de 6 a 12 meses Puleva Peques 2 brik 1 l.,1.95,1.95,bebe,alimentacion infantil,Bebé,€/l,
Chicles de fresa Klét's Fini sin gluten 100 g.,1.95,19.5,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Chicles de hierbabuena Klét's Fini sin gluten 100 g.,1.95,19.5,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Chicles de menta Klét's Fini sin gluten 100 g.,1.95,19.5,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Zumo de piña Carrefour exprimido brik 1 l.,1.95,1.95,bebidas,aguas y zumos,Zumos,€/l,
Set 2 Fregonas CARREFOUR HOME - Amarillas,1.95,0.97,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Mayonesa sabor casero Calvé sin lactosa tarro 210 ml.,1.95,9.29,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Manzana golden Carrefour 1 kg aprox,1.95,1.95,productos frescos,frutas,Fruta y verdura,€/kg,
Galletas rellenas de crema de chocolate Mini Príncipe 160 g.,1.95,12.19,la despensa,desayuno,Cereales y galletas,€/kg,
Galletas de chocolate rellenas de crema Mini Oreo pack de 4 unidades de 40 g.,1.95,12.19,la despensa,desayuno,Cereales y galletas,€/kg,
Aperitivo de maíz sabor tijuana Boom Grefusa 95 g.,1.95,20.53,la despensa,aperitivos,Aperitivos,€/kg,
Café latte sin azúcares añadidos Kaiku sin gluten sin lactosa 230 ml.,1.95,8.48,la despensa,lacteos,leche y mantequilla,€/l,
Suavizante concentrado azul 80 lavados.,1.95,0.02,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Suavizante concentrado talco Carrefour 80 lavados.,1.95,0.02,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Horchata de chufa Carrefour Original sin gluten botella 1 l.,1.95,1.95,la despensa,lacteos,leche y mantequilla,€/l,
"Agua mineral Font Vella Sensación con zumo de limón 1,25 l.",1.95,1.56,bebidas,aguas y zumos,Agua y refrescos,€/l,
"Agua mineral Font Vella Sensación con zumo de manzana 1,25 l.",1.95,1.56,bebidas,aguas y zumos,Agua y refrescos,€/l,
Mini croissant de mantequilla Carrefour 10 ud,1.95,0.19,productos frescos,panaderia tradicional,Panadería y pastelería,€/ud,
Café latte cappuccino Kaiku sin gluten 230 ml.,1.95,8.48,la despensa,lacteos,leche y mantequilla,€/l,
Café latte espresso Kaiku sin gluten 230 ml.,1.95,8.48,la despensa,lacteos,leche y mantequilla,€/l,
"Bolsita de manzana, pera y plátano desde 4 meses ecológica Hipp sin gluten 100 g.",1.95,19.5,bebe,alimentacion infantil,Bebé,€/kg,
Fresón tarrina origen Huelva 500 g,1.95,3.9,productos frescos,frutas,Fruta y verdura,€/kg,
"Bolsita de pera, plátano y kiwi desde 6 meses ecológica Hipp sin gluten 100 g.",1.95,19.5,bebe,alimentacion infantil,Bebé,€/kg,
Galleta rellena de chocolate con leche Lotus Biscoff 150 g.,1.95,13.0,la despensa,desayuno,Cereales y galletas,€/kg,
Acelgas manojo de 800 g,1.95,2.44,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Pan de bocadillo pannier Carrefour 3 ud,1.95,0.65,productos frescos,panaderia tradicional,Panadería y pastelería,€/ud,
Queso en dados para ensaladas Extra Carrefour 200 g.,1.95,9.75,productos frescos,quesos,Charcutería y quesos,€/kg,
Coco de agua selecta BIO Peso mín 800 g,1.95,1.95,productos frescos,frutas,Fruta y verdura,€/ud,
Sardinas en aceite de oliva bajo en sal Calvo 84 g.,1.95,23.21,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Chocolate a la taza Carrefour 300 g.,1.95,6.5,la despensa,desayuno,Cereales y galletas,€/kg,
Caramelos blandos sabor melón y sandía sin azúcar Virginias sin gluten y sin lactosa 110 g.,1.95,17.73,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
"Leche semidesnatada Pascual botella 1,5 l.",1.95,1.3,la despensa,lacteos,leche y mantequilla,€/l,
"Leche desnatada 0% MG Pascual botella 1,5 l.",1.95,1.3,la despensa,lacteos,leche y mantequilla,€/l,
"Leche entera Pascual botella 1,5 l.",1.95,1.3,la despensa,lacteos,leche y mantequilla,€/l,
Pera Blanquilla Carrefour 1 kg aprox,1.95,1.95,productos frescos,frutas,Fruta y verdura,€/kg,
Gandul Facundo 425 g.,1.95,4.59,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Mascarilla capilar aceite de coco Carrefour Soft 300 ml.,1.95,0.651,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Mascarilla capilar revitalizante con miel de flores para pelo frágil quebradizo Carrefour Soft 300 ml.,1.95,0.651,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Café latte con crema macchiato Kaiku sin gluten 230 ml.,1.95,8.48,la despensa,lacteos,leche y mantequilla,€/l,
Mascarilla capilar aceite de argán Carrefour Soft 300 ml.,1.95,0.651,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Café latte de vainilla Kaiku sin gluten 230 ml.,1.95,8.48,la despensa,lacteos,leche y mantequilla,€/l,
"Zumo de fresa Sunny Delight botella 1,25 l.",1.95,1.56,bebidas,aguas y zumos,Zumos,€/l,
Yogur con fresas Danone Original pack de 2 unidades de 130 g.,1.95,7.5,la despensa,yogures y postres,Postres y yogures,€/kg,
Monster Energy Lewis Hamilton Bebida Energética sin azúcar lata 500 ml.,1.95,3.9,bebidas,alcoholes,Bodega,€/l,
Galletas rellenas de vainilla Carrefour Classic 300 g.,1.95,6.5,la despensa,desayuno,Cereales y galletas,€/kg,
Galletas mini con pepitas de chocolate Chips Ahoy 160 g.,1.95,12.19,la despensa,desayuno,Cereales y galletas,€/kg,
Crepes de trigo relleno de quesos Carrefour 300 g.,1.95,6.5,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Lenteja categoría extra Carrefour 1 kg.,1.95,1.95,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
