nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia
Café molido mezcla Carrefour 250 g.,1.75,7.0,la despensa,desayuno,"Cacao, café e infusiones",KILO
Aperitivo de maíz Gusanitos Risi sin gluten 105 g.,1.75,16.67,la despensa,aperitivos,Aperitivos,KILO
Cebollino manojo de 175 g,1.75,10.0,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Aperitivo de maíz sabor original Triskys Risi sin gluten 135 g.,1.75,12.96,la despensa,aperitivos,Aperitivos,KILO
Cacahuete cascara tostado Carrefour 350 g aprox,1.75,4.99,la despensa,aperitivos,Aperitivos,KILO
Zumo de naranja Carrefour con pulpa brik 1 l.,1.75,1.75,bebidas,aguas y zumos,Zumos,LITRO
Zumo de naranja Carrefour brik 1 l.,1.75,1.75,bebidas,aguas y zumos,Zumos,LITRO
Lenteja pardina cocida categoría extra De Nuestra Tierra 400 g.,1.75,4.37,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Chocolate a la taza en polvo Carrefour sin gluten 400 g.,1.74,4.35,la despensa,desayuno,Cereales y galletas,KILO
Palomitas Risi sin gluten 105 g.,1.74,16.57,la despensa,aperitivos,Aperitivos,KILO
Mejillón en escabeche 13/18 Classic Carrefour 69 g.,1.74,25.22,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Tarrito de guisantes tiernos con jamón desde 6 meses Hero Baby sin aceite de palma 235 g.,1.74,0.741,bebe,alimentacion infantil,"Aceite, especias y salsas",100 GR
Néctar de melocotón Juver brik 2 l.,1.74,0.87,bebidas,aguas y zumos,Zumos,LITRO
Salsa alioli Ybarra tarro 225 ml.,1.74,7.73,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Vino blanco de mesa Cumbre de Gredos brik 1 l.,1.74,1.74,bebidas,vinos,Bodega,LITRO
Servilleta Eco 2 capas Carrefour Home 100 uds,1.74,1.74,limpieza y hogar,papel y celulosa,Limpieza y hogar,UNIDAD
Hilo dental Carrefour Soft pack de 2 unidades de 50 m.,1.74,0.02,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,METRO
Vino tinto de mesa Cumbre de Gredos brik 1 l.,1.74,1.74,bebidas,vinos,Bodega,LITRO
Quinoa integral para microondas Brillante pack de 2 unidades de 125 g.,1.74,6.96,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Zumo de clementinas Carrefour exprimido brik de 1 l.,1.74,1.74,bebidas,aguas y zumos,Zumos,LITRO
Toallitas multiusos limpieza Carrefour 40 ud.,1.73,0.04,limpieza y hogar,productos para toda la casa,Limpieza y hogar,UNIDAD
Arroz con leche Danone pack de 2 unidades de 130 g.,1.73,6.65,la despensa,yogures y postres,"Arroz, legumbres y pasta",KILO
Mozzarella di bufala campana DOP Carrefour Extra 125 g.,1.73,0.0,productos frescos,quesos,Charcutería y quesos,No especificado
Pan integral de hamburguesa maxi Classic' Carrefour 4 ud.,1.73,5.09,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Harina especial para rebozar sin huevo Original Carrefour 1 kg.,1.73,1.73,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Copa de chocolate con nata Danone La Copa pack de 2 unidades de 110 g.,1.73,7.86,la despensa,yogures y postres,Postres y yogures,KILO
Crema bombón 50% menos de azúcar añadido Clesa sin gluten sin lactosa pack de 4 unidades de 125 g.,1.73,3.46,la despensa,yogures y postres,Postres y yogures,KILO
Aperitivo de maíz sabor queso Gublins Grefusa 124 g.,1.73,13.95,la despensa,aperitivos,Aperitivos,KILO
Red Bull Bebida Energética coco y arándanos lata 25 cl,1.73,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Red Bull The Sumer Edition Bebida Energética sabor baya de junio lata 25 cl.,1.73,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Cerveza artesana Brutus botella 33 cl.,1.73,5.24,bebidas,cerveza,Bodega,LITRO
Crema bombón sin azúcar añadido Clesa sin gluten pack de 4 unidades de 125 g.,1.73,3.46,la despensa,yogures y postres,Postres y yogures,KILO
Chocolate crujiente Crunch Nestlé sin gluten 100 g.,1.73,17.3,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Yogur natural Danone Original pack de 2 unidades de 130 g.,1.73,6.65,la despensa,yogures y postres,Postres y yogures,KILO
Yogur azucarado natural Danone Original pack de 2 unidades de 130 g.,1.73,6.65,la despensa,yogures y postres,Postres y yogures,KILO
Galletas gaufrette de chocolate  Extra Carrefour 150 g.,1.73,11.53,la despensa,desayuno,Cereales y galletas,KILO
"Crema bombón 0,7% materia grasa Clesa sin gluten pack de 4 unidades de 125 g.",1.73,3.46,la despensa,yogures y postres,Postres y yogures,KILO
Crema de manos reparadora secas y dañadas Carrefour 100 ml.,1.73,1.731,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Aceitunas Negras con Hueso Manzanilla Cacereña de Nuestra Tierra 350 g.,1.73,8.65,la despensa,aperitivos,"Cacao, café e infusiones",KILO
Red Bull Bebida Energética Zero lata 25 cl,1.73,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Edamame vainas de soja Carrefour 500 g.,1.73,3.46,congelados,verduras congeladas,Congelados,KILO
Mousse de cappuccino alto en proteínas Valio Profeel Protein 150 g.,1.73,11.53,la despensa,yogures y postres,"Cacao, café e infusiones",KILO
Mini redondos de chocolate Carrefour 155 g.,1.73,11.16,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Leche Dinamic Protein Pascual sin lactosa 1 l.,1.73,0.0,la despensa,lacteos,"Huevos, leche y mantequilla",No especificado
Preparado lácteo proteína Puleva sin lactosa 1 l.,1.73,1.73,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
Red Bull Bebida Energética albaricoque y fresa lata 25 cl,1.73,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Postre de soja natural Carrefour Sensation pack de 4 unidades de 100 g.,1.73,2.88,la despensa,yogures y postres,Postres y yogures,KILO
Patatas fritas sabor ajo y perejil Carrefour 150 g.,1.73,11.53,la despensa,aperitivos,"Aceite, especias y salsas",KILO
Algodón precortado Carrefour Soft 200 g.,1.73,0.861,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 GR
Aceitunas negras sin hueso bajo contenido en sal Carrefour 150 g.,1.73,11.53,la despensa,aperitivos,"Aceite, especias y salsas",KILO
Crema bombón Original Clesa sin gluten pack de 4 unidades de 125 g.,1.73,3.46,la despensa,yogures y postres,Postres y yogures,KILO
Red Bull Bebida Energética fruta del dragón lata 25 cl,1.73,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Mini redondos de chocolate Carrefour 160 g.,1.73,10.81,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Aceitunas rellenas de jalapeños Carrefour sin gluten y sin lactosa 150 g.,1.73,11.53,la despensa,aperitivos,Aperitivos,KILO
Crema de manos nutritiva para pieles maduras y secas Q10 Carrefour 100 ml.,1.73,1.731,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Aceitunas verdes rellenas de anchoa Carrefour 150 g.,1.73,11.53,la despensa,aperitivos,Aperitivos,KILO
Red Bull Bebida Energética sandía lata 25 cl,1.73,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Crema de cacao y leche con avellanas Carrefour sin gluten 400 g.,1.72,4.3,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Crema de cacao con avellanas Carrefour sin gluten 400 g.,1.72,4.3,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Menestra de verduras Carrefour Classic' 1 kg.,1.72,1.72,congelados,verduras congeladas,Congelados,KILO
Té rojo en bolsitas Carrefour 30 ud.,1.72,28.67,la despensa,desayuno,"Cacao, café e infusiones",KILO
Tiras transparentes Soft Carrefour 30 ud.,1.72,0.06,parafarmacia,botiquin,botiquin,UNIDAD
Gazpacho fresco García Millán 330 ml.,1.72,5.21,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",LITRO
Infusión Rooibos en bolsitas Carrefour 30 ud.,1.72,38.22,la despensa,desayuno,"Cacao, café e infusiones",KILO
Sucedáneo de angulas 200 g.,1.72,8.6,congelados,gulas y surimis congelados,Congelados,KILO
Tomate rallado Extra Carrefour 250 g.,1.72,6.88,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Pañuelos 3 capas Carrefour 15 ud.,1.72,0.11,limpieza y hogar,papel y celulosa,Limpieza y hogar,UNIDAD
"Esparadrapo Sensitive 5 m x 2,5 cm Salvelox 1 ud.",1.71,1.71,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD
Yogur desnatado sabores Carrefour Classic' sin azúcar añadido pack de 8 unidades de 125 g.,1.71,1.71,la despensa,yogures y postres,Postres y yogures,KILO
Fideos orientales Yatekomo hot&spicy Gallina Blanca 60  g.,1.71,0.0,la despensa,conservas sopas y precocinados,"Arroz, legumbres y pasta",No especificado
Leche entera ecológica El Buen Pastor brik 1 l.,1.71,1.71,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
Bífidus natural Carrefour Classic'  pack de 8 unidades de 125 g.,1.71,1.71,la despensa,yogures y postres,Postres y yogures,KILO
Fanta de limón Zero botella 2 l.,1.71,0.85,bebidas,refrescos,Agua y refrescos,LITRO
Fideos Orientales Yatekomo Gallina Blanca 60 g.,1.71,0.0,la despensa,conservas sopas y precocinados,"Arroz, legumbres y pasta",No especificado
Pimientos del Piquillo enteros extra Carrefour 150 g.,1.71,11.4,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
Picadillo de variantes Classic Carrefour 260 g.,1.71,6.58,la despensa,aperitivos,Aperitivos,KILO
Alcohol Carrefour 500 ml.,1.71,0.341,parafarmacia,botiquin,botiquin,100 ML
Batido de chocolate shake Milka 200 ml.,1.71,8.55,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
Tónico facial Carrefour Soft 250 ml.,1.71,0.681,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Néctar de piña Juver brik 2 l.,1.71,0.85,bebidas,aguas y zumos,Zumos,LITRO
Fregona Hilo Microfibra CARREFOUR - Estampado,1.71,1.71,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Crema de queso azul Carrefour sin gluten 125 g.,1.71,13.68,productos frescos,quesos,Charcutería y quesos,KILO
Bolsita de aguacate y arándanos desde 6 meses ecológico Smileat sin gluten 100 g.,1.71,17.1,bebe,alimentacion infantil,Bebé,KILO
"Bolsita de cereza, açai y amaranto desde 8 meses ecológico Smileat sin gluten y sin lactosa 100 g",1.71,17.1,bebe,alimentacion infantil,Bebé,KILO
Queso en lonchas bajo en sal García Baquero 90 g.,1.71,19.0,productos frescos,quesos,"Aceite, especias y salsas",KILO
Bolsita de yogur y avena desde 12 meses ecológico Smileat 100 g.,1.71,17.1,bebe,alimentacion infantil,Bebé,KILO
Snacks infantil de fresa y manzana ecológico Smileat 25 g.,1.71,68.4,bebe,alimentacion infantil,Bebé,KILO
Desodorante roll-on pieles atópicas Carrefour soft 50 ml.,1.71,3.421,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Enjuague bucal infantil fresh sabor fresa Carrefour Soft 500 ml,1.71,0.341,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML
Parches de gel para los ojos hidratantes IDC Institute 1 par,1.71,1.71,perfumeria e higiene,cuidado y proteccion corporal,Fitoterapia y parafarmacia,UNIDAD
Espaguetis Garofalo 500 g.,1.7,3.4,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
L.Casei líquido desnatado sabor fresa Carrefour Classic' sin azúcar añadido pack de 6 unidades de 100 g.,1.7,2.83,la despensa,yogures y postres,Postres y yogures,KILO
Chocolate negro 80% cacao Ecuador ecológico Carrefour Bio 100 g.,1.7,17.0,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Mentos fruity mix lata 24 cl.,1.7,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Pasta penne ziti rigate Garofalo 500 g.,1.7,3.4,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Compresas noche maxi Carrefour 10 ud.,1.7,0.17,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Salsa provenzal ecológica Carrefour Bio tarro 350 g.,1.7,4.86,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Leche fermentada líquida desnatada natural Sanus Carrefour pack de 6 unidades de 100 g.,1.7,2.83,la despensa,yogures y postres,Postres y yogures,KILO
Pasta mafalda corta Garofalo 500 g.,1.7,3.4,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Radiatori Garofalo 500 g.,1.7,3.4,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Leche semidesnatada VitaCalcio Puleva brik 1 l.,1.7,0.0,la despensa,lacteos,"Huevos, leche y mantequilla",No especificado
Nata montada azucarada ligera Carrefour spray 250 g.,1.7,6.8,la despensa,lacteos,Cuidado facial y corporal,KILO
Mentos limon&mint lata 24 cl.,1.7,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Leche desnatada VitaCalcio Puleva brik 1 l.,1.7,0.0,la despensa,lacteos,"Huevos, leche y mantequilla",No especificado
Mayonesa con mostaza de Dijón Carrefour envase 237 g.,1.7,7.17,la despensa,alimentacion,"Aceite, especias y salsas",KILO
Cepillo de dientes suave adaptado a encías sensibles Sensitive Carrefour Soft 1 ud.,1.7,1.7,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD
Regañás con pipas de girasol Classic Carrefour 80 g.,1.7,21.25,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO
Quitaesmalte acetona pura Carrefour Soft 200 ml.,1.7,0.851,perfumeria e higiene,cosmetica,Cuidado facial y corporal,100 ML
"Maxi Petit de fresa, de plátano y de fresa-plátano Carrefour Classic' sin gluten pack de 6 unidades de 100 g.",1.7,2.83,la despensa,yogures y postres,Postres y yogures,KILO
Arroz integral para microondas ecológico Carrefour Bio pack de 2 unidades de 125 g.,1.7,6.8,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Quinoa Real blanca y roja para microondas ecológica Carrefour Bio pack de 2 unidades de 125 g.,1.7,6.8,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Tiras universales Carrefour Soft 40 ud.,1.7,0.04,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD
Arroz integral con quinoa roja para microondas ecológico Carrefour Bio pack de 2 unidades de 125 g.,1.7,6.8,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Yogur natural de oveja Carrefour Original pack de 2 unidades de 115 g.,1.7,7.39,la despensa,yogures y postres,Postres y yogures,KILO
Bebida de avena sin azúcar añadido ecológica Carrefour Bio Brik 1 l.,1.7,1.7,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
Gel desatascador turbo tuberias Carrefour 500 ml.,1.7,3.4,limpieza y hogar,productos para bano,Cuidado facial y corporal,LITRO
Desodorante en spray cream care 48h antitranspirante crema hidratante 0% alcohol Carrefour Soft 200 ml.,1.7,0.851,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Desodorante en spray antitranspirante 48h Invisible Carrefour Soft 200 ml.,1.7,0.851,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Supremas al ajillo Carrefour 50 g.,1.7,34.0,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO
"La Casera de naranja zero azucares añadidos pack de 2 botellas de 1,5 l.",1.7,0.57,bebidas,refrescos,Agua y refrescos,LITRO
Arroz integral con quinoa para microondas Brillante pack de 2 unidades de 125 g.,1.7,6.8,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Desodorante textil Carrefour Essential 500 ml.,1.7,3.4,limpieza y hogar,cuidado de la ropa,Cuidado facial y corporal,LITRO
Desodorante en spray dermo protección 48h antitranspirante frescor natural 0% alcohol Carrefour Soft 200 ml.,1.7,0.851,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Cocktail de frutos secos 200 g.,1.7,8.5,la despensa,aperitivos,Aperitivos,KILO
Queso mozzarella en lonchas Carrefour 200 g.,1.7,8.5,productos frescos,quesos,Charcutería y quesos,KILO
Servilletas CARREFOUR HOME 50 ud - Blanco,1.7,0.03,limpieza y hogar,papel y celulosa,Limpieza y hogar,UNIDAD
Desodorante en spray sensitive protección 48h aceite de avena 0% alcohol Carrefour Soft 200 ml.,1.7,0.851,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Desodorante en spray invisible protección 48h antitranspirante antimanchas 0% alcohol Carrefour Men 200 ml.,1.7,0.851,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Desodorante en spray sport protección 48h antitranspirante frescor intenso 0% alcohol Carrefour Men 200 ml.,1.7,0.851,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Colgador WC summer vibes Carrefour 1 ud.,1.7,30.91,limpieza y hogar,productos para bano,Limpieza y hogar,KILO
Desodorante roll-on sensitive sin perfume con seda hipoalergénico Byly 50 ml.,1.7,3.401,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML
Ambientador concentrado Deluxe Foresan 125 ml.,1.7,13.6,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO
Cardo sin sal añadida Classic Carrefour 400 g.,1.7,4.25,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO
Ambientador concentrado WC Foresan 125 ml.,1.7,13.6,limpieza y hogar,ambientadores,Limpieza y hogar,LITRO
Nueces peladas ecológicas Carrefour Bio 90 g.,1.7,18.89,la despensa,aperitivos,Aperitivos,KILO
Alubias a la riojana Original Carrefour sin gluten 420 g.,1.7,4.05,la despensa,conservas sopas y precocinados,"Arroz, legumbres y pasta",KILO
Galletas de chocolate rellenas de crema vainilla y frambuesa Remix Oreo 157 g.,1.69,10.76,la despensa,desayuno,Cereales y galletas,KILO
Ravioli de tomate y mozzarella al huevo Carrefour 250 g.,1.69,6.76,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Yogur griego natural azucarado Carrefour Extra pack de 6 unidades de 125 g.,1.69,2.25,la despensa,yogures y postres,Postres y yogures,KILO
Paté al Oporto Carrefour El Mercado sin gluten 100 g,1.69,16.9,productos frescos,charcuteria,"Cacao, café e infusiones",KILO
"Trina de manzana sin gas 1,5 l.",1.69,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Pasta Spaghettoni nº 7 Barilla 500 g.,1.69,3.38,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
"Trina de limón sin gas botella 1,5 l.",1.69,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Preparado para natillas caseras Royal 100 g.,1.69,16.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Bebida láctea semidesnatada fibra Central Lechera Asturiana brik 1 l.,1.69,1.69,la despensa,lacteos,"Huevos, leche y mantequilla",LITRO
"Trina de naranja sin gas botella 1,5 l.",1.69,0.0,bebidas,refrescos,Agua y refrescos,No especificado
"Trina de tropical sin gas botella 1,5 l.",1.69,0.0,bebidas,refrescos,Agua y refrescos,No especificado
Pasta Fusilli nº 98 Barilla 500 g.,1.69,3.38,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Cacahuete piel crudo Carrefour El Mercado tarrina de 275 g,1.69,6.15,la despensa,aperitivos,Aperitivos,KILO
Brotes de espinaca y rúcula Carrefour 150 g,1.69,11.27,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Agua mineral Solán de Cabras 75 cl.,1.69,2.25,bebidas,aguas y zumos,Agua y refrescos,LITRO
Bases de pizza artesanas extrafinas Carrefour pack de 3 bases de 125 g.,1.69,4.51,congelados,rebozados y platos preparados,Pizzas y platos preparados,KILO
Pasta macarrones penne rigate nº 73 Barilla 500 g.,1.69,3.38,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
Barritas de chocolate con relleno de crema de leche Kinder Chocolate 100 g.,1.69,16.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Pasta espaguetis nº 5 Barilla 500 g.,1.69,3.38,la despensa,alimentacion,"Arroz, legumbres y pasta",KILO
