Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
Enjuague bucal especial encías Gingikin 1 l.,15.55,1.561,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML,
Leche protectora solar SPF50+ Sensitive Advanced Garnier Delial 175 ml.,15.55,8.891,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Spray solar sport bruma protectora SPF 50 Ecran Sunnique 250 ml.,15.55,6.221,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Salchichón ibérico de bellota Esencia Única 600 g,15.55,25.92,productos frescos,charcuteria,"Aceite, especias y salsas",KILO,
Vodka Eristoff 1 l.,15.55,15.55,bebidas,alcoholes,Bodega,LITRO,ERISTOFF
Pierna de cordero lechal El Mercado 650 g aprox,15.53,23.9,productos frescos,carniceria,Carne,KILO,
Aceite de oliva virgen extra ecológico Coosur 1 l.,15.49,15.49,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,COOSUR
Crema protectora facial con ácido hialurónico SPF50 anti-edad Super UV Garnier Delial 50 ml.,15.49,30.981,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Whisky Johnnie Walker Red Label escocés 70 cl,15.49,22.13,bebidas,alcoholes,Bodega,LITRO,JOHNNIE WALKER
Fluido ultraligero hidratante facial UV FP50+ Triple Protección Nivea Sun 40 ml.,15.49,38.721,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Ron Barceló añejo 70 cl.,15.45,22.07,bebidas,alcoholes,Bodega,LITRO,BARCELO
Jim Beam Bourbon Bourbon,15.45,22.07,bebidas,alcoholes,Bodega,LITRO,JIM BEAM
Sérum de noche con biotina hidratación y brillo con ácido hialurónico Pantene Pro-V 70 ml.,15.39,21.991,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Fluido facial acabado en seco derma skin clear FPS50+ Nivea Sun 40 ml.,15.39,38.471,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Pradorey Tinto Crianza 2017,15.39,15.39,bebidas,vinos,Bodega,UNIDAD,PRADOREY
Serum hidratante sin aclarado para puntas secas Pro-V Miracles Pantene 70 ml.,15.39,21.991,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Agua de colonia Hombre Don Algodón 200 ml.,15.35,7.671,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Aceite de oliva virgen extra ecológico Dcoop 1 l.,15.35,15.35,la despensa,alimentacion,"Aceite, especias y salsas",LITRO,
Gafa presbicia cuadrada circular +2.00 colores varios 1 ud.,15.35,15.35,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD,
